(14, 9), (-14, -9) [ 76.  82.  94.]
(26, 8), (-6, -8) [ 87.72670807  87.46668549  94.14850367]
(35, 9), (5, -9) [ 87.72670807  87.46668549  94.14850367]
(46, 10), (14, -10) [ 87.72670807  87.46668549  94.14850367]
(58, 6), (22, -6) [  92.73550047   95.76730589  105.49017774]
(69, 3), (31, -3) [ 87.72670807  87.46668549  94.14850367]
(79, 0), (41, 0) [  92.73550047   95.76730589  105.49017774]
(88, 0), (52, 0) [  92.73550047   95.76730589  105.49017774]
(97, 3), (63, -3) [  92.73550047   95.76730589  105.49017774]
(107, 2), (73, -2) [  92.73550047   95.76730589  105.49017774]
(117, 4), (83, -4) [  92.73550047   95.76730589  105.49017774]
(127, 5), (93, -5) [  92.73550047   95.76730589  105.49017774]
(137, 3), (103, -3) [  92.73550047   95.76730589  105.49017774]
(146, 3), (114, -3) [  92.73550047   95.76730589  105.49017774]
(157, 1), (123, -1) [  92.73550047   95.76730589  105.49017774]
(167, -2), (133, 2) [  92.73550047   95.76730589  105.49017774]
(176, -1), (144, 1) [  92.73550047   95.76730589  105.49017774]
(182, -9), (158, 9) [  92.73550047   95.76730589  105.49017774]
(186, -12), (174, 12) [  92.73550047   95.76730589  105.49017774]
(180, 8), (200, -8) [  92.73550047   95.76730589  105.49017774]
(186, 3), (214, -3) [  92.73550047   95.76730589  105.49017774]
(200, 8), (220, -8) [  92.73550047   95.76730589  105.49017774]
(224, -11), (216, 11) [  92.73550047   95.76730589  105.49017774]
(219, 7), (241, -7) [  92.73550047   95.76730589  105.49017774]
(232, 13), (248, -13) [  92.73550047   95.76730589  105.49017774]
(245, 13), (255, -13) [  92.73550047   95.76730589  105.49017774]
(255, 13), (265, -13) [  92.73550047   95.76730589  105.49017774]
(276, 11), (264, -11) [  92.73550047   95.76730589  105.49017774]
(290, 6), (270, -6) [  92.73550047   95.76730589  105.49017774]
(284, 14), (296, -14) [  92.73550047   95.76730589  105.49017774]
(291, 12), (309, -12) [  92.73550047   95.76730589  105.49017774]
(308, 14), (312, -14) [  92.73550047   95.76730589  105.49017774]
(329, 12), (311, -12) [  92.73550047   95.76730589  105.49017774]
(337, 12), (323, -12) [  94.  103.  120.]
(352, -2), (328, 2) [  92.73550047   95.76730589  105.49017774]
(355, -12), (345, 12) [  92.73550047   95.76730589  105.49017774]
(361, -14), (359, 14) [  92.73550047   95.76730589  105.49017774]
(375, -13), (365, 13) [  92.73550047   95.76730589  105.49017774]
(388, -11), (372, 11) [  92.73550047   95.76730589  105.49017774]
(399, -8), (381, 8) [  92.73550047   95.76730589  105.49017774]
(389, -2), (411, 2) [  92.73550047   95.76730589  105.49017774]
(420, 9), (400, -9) [  92.73550047   95.76730589  105.49017774]
(429, 11), (411, -11) [  92.73550047   95.76730589  105.49017774]
(423, 10), (437, -10) [  92.73550047   95.76730589  105.49017774]
(439, 13), (441, -13) [  92.73550047   95.76730589  105.49017774]
(461, -7), (439, 7) [  92.73550047   95.76730589  105.49017774]
(466, -12), (454, 12) [  92.73550047   95.76730589  105.49017774]
(457, -8), (483, 8) [  92.73550047   95.76730589  105.49017774]
(465, 1), (495, -1) [  92.73550047   95.76730589  105.49017774]
(477, -5), (503, 5) [  92.73550047   95.76730589  105.49017774]
(497, -15), (503, 15) [  92.73550047   95.76730589  105.49017774]
(518, -12), (502, 12) [  92.73550047   95.76730589  105.49017774]
(529, -12), (511, 12) [  92.73550047   95.76730589  105.49017774]
(534, -13), (526, 13) [  92.73550047   95.76730589  105.49017774]
(539, -12), (541, 12) [  92.73550047   95.76730589  105.49017774]
(556, 10), (544, -10) [  92.73550047   95.76730589  105.49017774]
(565, 11), (555, -11) [  92.73550047   95.76730589  105.49017774]
(582, 5), (558, -5) [  92.73550047   95.76730589  105.49017774]
(570, -3), (590, 3) [  92.73550047   95.76730589  105.49017774]
(583, -10), (597, 10) [  92.73550047   95.76730589  105.49017774]
(605, 10), (595, -10) [  92.73550047   95.76730589  105.49017774]
(617, -11), (603, 11) [  92.73550047   95.76730589  105.49017774]
(623, -15), (617, 15) [  92.73550047   95.76730589  105.49017774]
(636, -13), (624, 13) [  92.73550047   95.76730589  105.49017774]
(642, -13), (638, 13) [ 87.72670807  87.46668549  94.14850367]
(655, -12), (645, 12) [  92.73550047   95.76730589  105.49017774]
(667, -12), (653, 12) [  92.73550047   95.76730589  105.49017774]
(679, -12), (661, 12) [ 87.72670807  87.46668549  94.14850367]
(677, -14), (683, 14) [ 87.72670807  87.46668549  94.14850367]
(676, -5), (704, 5) [ 87.72670807  87.46668549  94.14850367]
(693, -12), (707, 12) [ 87.72670807  87.46668549  94.14850367]
(718, -11), (702, 11) [ 87.72670807  87.46668549  94.14850367]
(731, -7), (709, 7) [ 87.72670807  87.46668549  94.14850367]
(730, -14), (730, 14) [ 87.72670807  87.46668549  94.14850367]
(744, -14), (736, 14) [ 87.72670807  87.46668549  94.14850367]
(758, -14), (742, 14) [ 87.72670807  87.46668549  94.14850367]
(773, -9), (747, 9) [ 87.72670807  87.46668549  94.14850367]
(785, -8), (755, 8) [ 87.72670807  87.46668549  94.14850367]
(796, -6), (764, 6) [ 87.72670807  87.46668549  94.14850367]
(806, -8), (774, 8) [ 77.12046356  78.03903629  85.36749009]
(817, -4), (783, 4) [ 77.12046356  78.03903629  85.36749009]
(822, 12), (798, -12) [ 77.12046356  78.03903629  85.36749009]
(827, 18), (813, -18) [ 87.72670807  87.46668549  94.14850367]
(835, 18), (825, -18) [ 87.72670807  87.46668549  94.14850367]
(843, 21), (837, -21) [ 87.72670807  87.46668549  94.14850367]
(850, 21), (850, -21) [  92.73550047   95.76730589  105.49017774]
(858, 21), (862, -21) [  94.  103.  120.]
(866, 21), (874, -21) [  94.  103.  120.]
(877, 21), (883, -21) [ 108.49311818  108.3483626   120.86853346]
(887, 20), (893, -20) [ 115.912759    129.5736096   148.14503817]
(16, 16), (-16, 4) [ 76.  82.  94.]
(26, 18), (-6, 2) [ 76.  82.  94.]
(36, 19), (4, 1) [ 87.72670807  87.46668549  94.14850367]
(47, 19), (13, 1) [ 87.72670807  87.46668549  94.14850367]
(58, 16), (22, 4) [ 87.72670807  87.46668549  94.14850367]
(69, 14), (31, 6) [ 87.72670807  87.46668549  94.14850367]
(78, 11), (42, 9) [ 87.72670807  87.46668549  94.14850367]
(88, 12), (52, 8) [ 87.72670807  87.46668549  94.14850367]
(98, 12), (62, 8) [ 87.72670807  87.46668549  94.14850367]
(108, 12), (72, 8) [ 87.72670807  87.46668549  94.14850367]
(118, 14), (82, 6) [ 87.72670807  87.46668549  94.14850367]
(127, 15), (93, 5) [ 87.72670807  87.46668549  94.14850367]
(136, 15), (104, 5) [  92.73550047   95.76730589  105.49017774]
(147, 12), (113, 8) [  92.73550047   95.76730589  105.49017774]
(157, 11), (123, 9) [  92.73550047   95.76730589  105.49017774]
(166, 10), (134, 10) [ 87.72670807  87.46668549  94.14850367]
(176, 11), (144, 9) [  92.73550047   95.76730589  105.49017774]
(183, 6), (157, 14) [  92.73550047   95.76730589  105.49017774]
(192, 12), (168, 8) [  92.73550047   95.76730589  105.49017774]
(188, 23), (192, -3) [  92.73550047   95.76730589  105.49017774]
(209, 16), (191, 4) [  92.73550047   95.76730589  105.49017774]
(220, 17), (200, 3) [  92.73550047   95.76730589  105.49017774]
(210, 5), (230, 15) [  92.73550047   95.76730589  105.49017774]
(219, 17), (241, 3) [  92.73550047   95.76730589  105.49017774]
(231, 22), (249, -2) [  92.73550047   95.76730589  105.49017774]
(242, 21), (258, -1) [  92.73550047   95.76730589  105.49017774]
(251, 21), (269, -1) [  92.73550047   95.76730589  105.49017774]
(273, 22), (267, -2) [  92.73550047   95.76730589  105.49017774]
(277, 23), (283, -3) [  92.73550047   95.76730589  105.49017774]
(285, 23), (295, -3) [  92.73550047   95.76730589  105.49017774]
(296, 23), (304, -3) [  92.73550047   95.76730589  105.49017774]
(312, 24), (308, -4) [  92.73550047   95.76730589  105.49017774]
(326, 24), (314, -4) [  92.73550047   95.76730589  105.49017774]
(338, 22), (322, -2) [  92.73550047   95.76730589  105.49017774]
(353, 7), (327, 13) [  94.  103.  120.]
(361, 1), (339, 19) [  92.73550047   95.76730589  105.49017774]
(367, -2), (353, 22) [  92.73550047   95.76730589  105.49017774]
(377, -2), (363, 22) [  92.73550047   95.76730589  105.49017774]
(385, -3), (375, 23) [  92.73550047   95.76730589  105.49017774]
(400, 1), (380, 19) [  92.73550047   95.76730589  105.49017774]
(412, 9), (388, 11) [  92.73550047   95.76730589  105.49017774]
(419, 19), (401, 1) [  92.73550047   95.76730589  105.49017774]
(426, 23), (414, -3) [  92.73550047   95.76730589  105.49017774]
(429, 22), (431, -2) [  92.73550047   95.76730589  105.49017774]
(437, 23), (443, -3) [  92.73550047   95.76730589  105.49017774]
(445, -1), (455, 21) [  92.73550047   95.76730589  105.49017774]
(453, -1), (467, 21) [  92.73550047   95.76730589  105.49017774]
(457, 5), (483, 15) [  92.73550047   95.76730589  105.49017774]
(466, 9), (494, 11) [  92.73550047   95.76730589  105.49017774]
(481, -1), (499, 21) [  92.73550047   95.76730589  105.49017774]
(500, -5), (500, 25) [  92.73550047   95.76730589  105.49017774]
(514, -4), (506, 24) [  92.73550047   95.76730589  105.49017774]
(526, -4), (514, 24) [  92.73550047   95.76730589  105.49017774]
(536, -2), (524, 22) [  92.73550047   95.76730589  105.49017774]
(531, 2), (549, 18) [  92.73550047   95.76730589  105.49017774]
(538, 13), (562, 7) [  92.73550047   95.76730589  105.49017774]
(559, 21), (561, -1) [  92.73550047   95.76730589  105.49017774]
(571, 22), (569, -2) [  92.73550047   95.76730589  105.49017774]
(570, 19), (590, 1) [  92.73550047   95.76730589  105.49017774]
(577, 8), (603, 12) [  92.73550047   95.76730589  105.49017774]
(588, 6), (612, 14) [  92.73550047   95.76730589  105.49017774]
(604, -2), (616, 22) [  92.73550047   95.76730589  105.49017774]
(618, -5), (622, 25) [  92.73550047   95.76730589  105.49017774]
(628, -4), (632, 24) [  92.73550047   95.76730589  105.49017774]
(632, 0), (648, 20) [ 87.72670807  87.46668549  94.14850367]
(643, -2), (657, 22) [  92.73550047   95.76730589  105.49017774]
(658, -5), (662, 25) [ 87.72670807  87.46668549  94.14850367]
(673, -4), (667, 24) [ 87.72670807  87.46668549  94.14850367]
(680, -3), (680, 23) [ 87.72670807  87.46668549  94.14850367]
